Epoch: 001, Train: 0.1286, Test: 0.2258
Epoch: 074, Train: 0.9143, Test: 0.3548
Epoch: 075, Train: 0.9000, Test: 0.3548
Epoch: 076, Train: 0.9143, Test: 0.3871
Epoch: 077, Train: 0.9143, Test: 0.3871
Epoch: 078, Train: 0.9286, Test: 0.3871
Epoch: 079, Train: 0.9286, Test: 0.3548
Epoch: 080, Train: 0.9429, Test: 0.3548
Epoch: 081, Train: 0.9429, Test: 0.3226
Epoch: 082, Train: 0.9429, Test: 0.3226
Epoch: 083, Train: 0.9429, Test: 0.3226
Epoch: 084, Train: 0.9286, Test: 0.2581
Epoch: 085, Train: 0.9286, Test: 0.2581
Epoch: 086, Train: 0.9286, Test: 0.2903
Epoch: 087, Train: 0.9286, Test: 0.3226
Epoch: 088, Train: 0.9286, Test: 0.3226
Epoch: 089, Train: 0.9286, Test: 0.3226
Epoch: 090, Train: 0.9571, Test: 0.3226
Epoch: 091, Train: 0.9571, Test: 0.3226
Epoch: 092, Train: 0.9429, Test: 0.3548
Epoch: 093, Train: 0.9429, Test: 0.3226
Epoch: 094, Train: 0.9429, Test: 0.3548
Epoch: 095, Train: 0.9429, Test: 0.4194
Epoch: 096, Train: 0.9429, Test: 0.4194
Epoch: 097, Train: 0.9429, Test: 0.4194
Epoch: 098, Train: 0.9571, Test: 0.3871
Epoch: 099, Train: 0.9571, Test: 0.3871
Epoch: 100, Train: 0.9571, Test: 0.3871
Epoch: 101, Train: 0.9571, Test: 0.3871
Epoch: 102, Train: 0.9571, Test: 0.3871
Epoch: 103, Train: 0.9571, Test: 0.3871
Epoch: 104, Train: 0.9714, Test: 0.3871
Epoch: 105, Train: 0.9714, Test: 0.3871
Epoch: 106, Train: 0.9714, Test: 0.3871
Epoch: 107, Train: 0.9714, Test: 0.3871
Epoch: 108, Train: 0.9714, Test: 0.3871
Epoch: 109, Train: 0.9714, Test: 0.3548
Epoch: 110, Train: 0.9714, Test: 0.3548
Epoch: 111, Train: 0.9714, Test: 0.3548
Epoch: 112, Train: 0.9714, Test: 0.3548
Epoch: 113, Train: 0.9714, Test: 0.3548
Epoch: 114, Train: 0.9714, Test: 0.3548
Epoch: 115, Train: 0.9714, Test: 0.3548
Epoch: 116, Train: 0.9714, Test: 0.4194
Epoch: 117, Train: 0.9714, Test: 0.3871
Epoch: 118, Train: 0.9714, Test: 0.3871
Epoch: 119, Train: 0.9714, Test: 0.3871
Epoch: 120, Train: 0.9714, Test: 0.4516
Epoch: 121, Train: 0.9714, Test: 0.4516
Epoch: 122, Train: 0.9714, Test: 0.4194
Epoch: 123, Train: 0.9714, Test: 0.4194
Epoch: 124, Train: 0.9714, Test: 0.3871
Epoch: 125, Train: 0.9714, Test: 0.4194
Epoch: 126, Train: 0.9714, Test: 0.4194
Epoch: 127, Train: 0.9714, Test: 0.4194
Epoch: 128, Train: 0.9714, Test: 0.3871
Epoch: 129, Train: 0.9857, Test: 0.4516
Epoch: 130, Train: 0.9857, Test: 0.4516
Epoch: 131, Train: 0.9857, Test: 0.4839
Epoch: 132, Train: 0.9857, Test: 0.4516
Epoch: 133, Train: 0.9857, Test: 0.4839
Epoch: 134, Train: 0.9857, Test: 0.4839
Epoch: 135, Train: 0.9857, Test: 0.5161
Epoch: 136, Train: 0.9857, Test: 0.5161
Epoch: 137, Train: 0.9857, Test: 0.5161
Epoch: 138, Train: 0.9857, Test: 0.4839
Epoch: 139, Train: 0.9857, Test: 0.4839
Epoch: 140, Train: 0.9857, Test: 0.4839
Epoch: 141, Train: 0.9857, Test: 0.4839
Epoch: 142, Train: 0.9857, Test: 0.4839
Epoch: 143, Train: 0.9857, Test: 0.4839
Epoch: 144, Train: 0.9857, Test: 0.4516
Epoch: 145, Train: 0.9714, Test: 0.4839
Epoch: 146, Train: 0.9857, Test: 0.4839
Epoch: 147, Train: 0.9857, Test: 0.4839
Epoch: 148, Train: 0.9857, Test: 0.4839
Epoch: 149, Train: 0.9857, Test: 0.4839
Epoch: 150, Train: 0.9714, Test: 0.4839
Epoch: 151, Train: 0.9714, Test: 0.5161
Epoch: 152, Train: 0.9857, Test: 0.5161
Epoch: 153, Train: 0.9857, Test: 0.5161
Epoch: 154, Train: 0.9857, Test: 0.5484
Epoch: 155, Train: 0.9714, Test: 0.5484
Epoch: 156, Train: 0.9714, Test: 0.5484
Epoch: 157, Train: 0.9714, Test: 0.5484
Epoch: 158, Train: 0.9714, Test: 0.5806
Epoch: 159, Train: 0.9857, Test: 0.5484
Epoch: 160, Train: 0.9857, Test: 0.5484
Epoch: 161, Train: 0.9857, Test: 0.5484
Epoch: 162, Train: 0.9857, Test: 0.5484
Epoch: 163, Train: 0.9857, Test: 0.5161
Epoch: 164, Train: 0.9857, Test: 0.5161
Epoch: 165, Train: 0.9857, Test: 0.5161
Epoch: 166, Train: 0.9857, Test: 0.5161
Epoch: 167, Train: 0.9857, Test: 0.4839
Epoch: 168, Train: 0.9857, Test: 0.4839
Epoch: 169, Train: 0.9857, Test: 0.4839
Epoch: 170, Train: 0.9857, Test: 0.4839
Epoch: 171, Train: 0.9857, Test: 0.5484
Epoch: 172, Train: 0.9857, Test: 0.5484
Epoch: 173, Train: 0.9857, Test: 0.5484
Epoch: 174, Train: 0.9857, Test: 0.5484
Epoch: 175, Train: 0.9857, Test: 0.5161
Epoch: 176, Train: 0.9857, Test: 0.5161
Epoch: 177, Train: 0.9857, Test: 0.5161
Epoch: 178, Train: 0.9857, Test: 0.5161
Epoch: 179, Train: 0.9857, Test: 0.5161
Epoch: 180, Train: 0.9857, Test: 0.5161
Epoch: 181, Train: 0.9857, Test: 0.5161
Epoch: 182, Train: 0.9857, Test: 0.5161
Epoch: 183, Train: 0.9857, Test: 0.4839
Epoch: 184, Train: 0.9857, Test: 0.4839
Epoch: 185, Train: 0.9857, Test: 0.4839
Epoch: 186, Train: 0.9857, Test: 0.4839
Epoch: 187, Train: 0.9857, Test: 0.4839
Epoch: 188, Train: 0.9857, Test: 0.4839
Epoch: 189, Train: 0.9857, Test: 0.4839
Epoch: 190, Train: 0.9857, Test: 0.4839
Epoch: 191, Train: 0.9857, Test: 0.4839
Epoch: 192, Train: 0.9857, Test: 0.4839
Epoch: 193, Train: 0.9857, Test: 0.4516
Epoch: 194, Train: 0.9857, Test: 0.4516
Epoch: 195, Train: 0.9857, Test: 0.4516
Epoch: 196, Train: 0.9857, Test: 0.4516
Epoch: 197, Train: 0.9857, Test: 0.4516
Epoch: 198, Train: 0.9857, Test: 0.4516
Epoch: 199, Train: 0.9857, Test: 0.4516
Epoch: 200, Train: 0.9857, Test: 0.4516
